=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.09.24 16:20:39 =~=~=~=~=~=~=~=~=~=~=~=
$AIPOV,045231.5587,40.937,40.937,-40.937,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,199.415,200.000,-200.000,199.415,-200.000,-200.000,40.937,04400201*52
$AIPOV,045231.6087,40.984,40.984,-40.984,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,200.982,200.000,-200.000,200.982,-200.000,-200.000,40.984,04400201*54
$AIPOV,045231.6587,41.031,41.031,-41.031,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,202.447,200.000,-200.000,202.447,-200.000,-200.000,41.031,04400201*51
$AIPOV,045231.7087,41.079,41.079,-41.079,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,203.677,200.000,-200.000,203.677,-200.000,-200.000,41.079,04400201*55
$AIPOV,045231.7587,41.128,41.128,-41.128,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,204.543,200.000,-200.000,204.543,-200.000,-200.000,41.128,04400201*50
$AIPOV,045231.8087,41.179,41.179,-41.179,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,204.966,200.000,-200.000,204.966,-200.000,-200.000,41.179,04400201*5A
$AIPOV,045231.8587,41.230,41.230,-41.230,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,204.903,200.000,-200.000,204.903,-200.000,-200.000,41.230,04400201*5F
$AIPOV,045231.9087,41.282,41.282,-41.282,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,204.361,200.000,-200.000,204.361,-200.000,-200.000,41.282,04400201*5B
$AIPOV,045231.9587,41.335,41.335,-41.335,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,203.391,200.000,-200.000,203.391,-200.000,-200.000,41.335,04400201*5E
$AIPOV,045232.0087,41.389,41.389,-41.389,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,202.089,200.000,-200.000,202.089,-200.000,-200.000,41.389,04400201*51
$AIPOV,045232.0587,41.443,41.443,-41.443,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,200.583,200.000,-200.000,200.583,-200.000,-200.000,41.443,04400201*54
$AIPOV,045232.1087,41.499,41.499,-41.499,99.999,-99.999,-99.999,0.00,0.00,0.00,41.90278199,012.49636600,0.000,199.021,200.000,-200.000,199.021,-200.000,-200.000,41.499,04400201*50
